식별번호,NC,OS,P,S,TS,해당되는 등급
ISM-2150,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2151,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2152,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2153,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2154,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2155,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2156,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2157,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2158,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2159,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2160,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2161,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2162,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2163,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2164,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2165,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2166,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-2167,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
