식별번호,NC,OS,P,S,TS,해당되는 등급
ISM-1501,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1502,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1504,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1505,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1506,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1507,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1508,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1509,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1510,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1511,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1515,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1517,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1520,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1521,,,,Y,Y,"S, TS"
ISM-1522,,,,Y,Y,"S, TS"
ISM-1523,,,,Y,Y,"S, TS"
ISM-1524,,,,Y,Y,"S, TS"
ISM-1525,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1526,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1528,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1529,,,,Y,Y,"S, TS"
ISM-1530,,Y,Y,Y,Y,"OS, P, S, TS"
ISM-1532,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1533,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1534,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1535,,,,Y,Y,"S, TS"
ISM-1536,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1537,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1540,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1542,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1543,,,,Y,Y,"S, TS"
ISM-1544,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1546,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1547,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1548,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1549,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1550,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1551,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1552,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1553,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1554,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1555,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1556,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1557,,,,Y,,S
ISM-1558,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1559,Y,Y,Y,,,"NC, OS, P"
ISM-1560,,,,Y,,S
ISM-1561,,,,,Y,TS
ISM-1562,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1563,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
